descriptor,perm_importance,perm_std,spearman_vs_pIC50
PEOE_VSA14,0.0001823782846231803,0.00012244432552445747,0.15132505296657128
fr_benzene,0.0001726961019091644,8.812428086493958e-05,0.10322608699791162
fr_oxazole,0.0001474432392569447,4.1748716546605695e-05,-0.02019827784845324
PEOE_VSA4,0.0001155048849732887,0.0011787016855580638,0.17758132154344805
NumHeterocycles,0.00011327231846870456,0.0006362047959769678,0.10718313833072202
fr_Ndealkylation2,0.00010642734147706112,6.066581512549644e-05,0.05986911398274046
NumAromaticCarbocycles,9.018847073483105e-05,9.191320399198922e-05,0.10322608699791162
EState_VSA7,8.632935084739169e-05,0.00045900044326105865,0.01227582640237354
NumSpiroAtoms,7.976619490892012e-05,9.890111525809924e-05,0.10750962237269009
SlogP_VSA12,7.864270851882238e-05,8.60091313219162e-05,-0.21302452428796986
fr_urea,7.498800313777144e-05,3.646087792727298e-05,-0.09165444948213215
EState_VSA4,7.265567668804929e-05,0.0005355008857556095,0.10932742059828315
NumAliphaticCarbocycles,6.142883854973747e-05,7.190874403201645e-05,-0.005479895985549567
Phi,5.902760875002855e-05,0.0002444187909464895,0.35325393284756673
SlogP_VSA8,5.713438504575397e-05,0.0002514215285254042,-0.11118414880921264
fr_Al_OH,4.1744672362081794e-05,4.2695662809863374e-05,0.3198211945357863
fr_sulfide,4.01980024039017e-05,1.8268382036084868e-05,-0.07589292840433763
fr_Al_OH_noTert,3.975337365832998e-05,2.5825757342994372e-05,0.30983093638994313
fr_amidine,3.8352405087643816e-05,3.694471973865456e-05,-0.12276446000979167
SlogP_VSA7,3.823198529536165e-05,3.6645561273821344e-05,-0.17206531184051277
fr_ketone_Topliss,3.733648957864877e-05,3.399791306963412e-05,-0.011375098545312913
PEOE_VSA5,3.634299536211527e-05,5.116323030153591e-05,-0.04533180376468421
fr_phenol_noOrthoHbond,3.450958596027953e-05,3.593561755876725e-05,-0.1499630503700533
fr_Al_COO,3.377423719899686e-05,2.6821452130571612e-05,-0.03907572477591683
fr_COO2,2.8563899194672393e-05,4.175319098026926e-06,-0.03907572477591683
SMR_VSA2,2.830461210242552e-05,7.221780943348171e-05,-0.08061012486592245
fr_COO,2.1920020253052287e-05,1.711195289188092e-05,-0.03907572477591683
fr_phenol,2.1575296301040713e-05,4.9612025174391304e-05,-0.15462656851183273
NumSaturatedCarbocycles,2.019182808517539e-05,9.176414884297348e-05,-0.03494002731685976
fr_sulfone,1.9128191171186026e-05,1.5353497531761324e-05,0.03599040837515906
fr_guanido,1.6343374309191196e-05,0.00012624533535452256,0.04548161656166693
fr_Ar_OH,1.0105126228104889e-05,2.0130848047547993e-05,-0.15462656851183273
fr_priamide,9.797821311618993e-06,2.5906615580306818e-06,0.09223554975435858
fr_sulfonamd,8.116702295374312e-06,5.8225408995695044e-05,0.04185855946971989
EState_VSA11,6.982217740791885e-06,2.449948620710889e-06,-0.02632751866833871
fr_Nhpyrrole,5.654713740388395e-06,8.168682888255418e-06,-0.03139603934560977
fr_morpholine,5.510892239452003e-06,1.9906279097776723e-06,-0.1081084043799351
NumSaturatedHeterocycles,4.6020732786533625e-06,0.00013264003193482165,0.0193733619089511
fr_nitro_arom_nonortho,4.026326397488234e-06,9.678699938325554e-17,-0.08247735936806992
fr_HOCCN,9.025781335381122e-07,3.9882416474202483e-07,0.009752504364708165
fr_oxime,3.080431831392616e-07,4.808768900962639e-06,0.06760634381636677
fr_nitro_arom,2.288338082911956e-07,7.639458336592496e-08,-0.08247735936806992
fr_furan,1.8985214175759602e-07,3.424403406851345e-06,-0.04752932573753183
fr_nitro,4.992695884498133e-09,2.860044101797796e-07,-0.08247735936806992
fr_barbitur,5.551115123125783e-17,8.233634315563857e-17,
fr_dihydropyridine,4.9960036108132046e-17,6.544668208791958e-17,
fr_SH,4.9960036108132046e-17,6.544668208791958e-17,
fr_isocyan,4.4408920985006264e-17,6.473657049138938e-17,
fr_nitroso,4.4408920985006264e-17,5.438959822042074e-17,
NumRadicalElectrons,3.8857805861880476e-17,6.353541660708338e-17,
fr_quatN,3.8857805861880476e-17,5.29542632752814e-17,
fr_tetrazole,3.8857805861880476e-17,5.295426327528139e-17,
fr_C_S,3.8857805861880476e-17,5.2954263275281385e-17,
fr_hdrzine,3.8857805861880476e-17,5.2954263275281385e-17,
fr_phos_acid,3.3306690738754695e-17,7.108895957933347e-17,
fr_phos_ester,3.3306690738754695e-17,5.087681048627601e-17,
fr_lactam,3.3306690738754695e-17,5.087681048627601e-17,
fr_term_acetylene,2.7755575615628914e-17,4.8074067159589095e-17,
fr_Ar_COO,2.7755575615628914e-17,5.952907774921861e-17,
SMR_VSA8,2.7755575615628914e-17,4.8074067159589095e-17,
fr_azide,2.7755575615628914e-17,4.8074067159589095e-17,
fr_azo,2.2204460492503132e-17,6.66133814775094e-17,
SlogP_VSA9,2.2204460492503132e-17,4.4408920985006264e-17,
fr_N_O,2.2204460492503132e-17,4.4408920985006264e-17,
fr_benzodiazepine,2.2204460492503132e-17,6.66133814775094e-17,
fr_diazo,2.2204460492503132e-17,5.661048867003676e-17,
fr_hdrzone,2.2204460492503132e-17,5.661048867003676e-17,
fr_epoxide,1.6653345369377347e-17,3.9642891350404606e-17,
fr_isothiocyan,1.6653345369377347e-17,5.295426327528139e-17,
fr_aldehyde,1.1102230246251566e-17,3.33066907387547e-17,
fr_thiocyan,5.551115123125783e-18,4.263892432392673e-17,
fr_imide,0.0,0.0,
fr_lactone,-4.8330524776707406e-08,1.0025609688167932e-07,0.05592103250148323
