rmse_all,rmse_cliff,rmse_noncliff,cliff_ratio,n_cliff,n_noncliff,dataset,model
1.485045158921382,1.5164725140279034,1.463912279239218,1.0359039510318202,220,333,CHEMBL204_Ki,molformer
0.7105651804641755,0.7979706294622761,0.6534652836770914,1.2211369898214697,127,215,CHEMBL228_Ki,unimol
0.731883757470355,0.8165038282958855,0.6755190409840365,1.2087058672787,178,294,CHEMBL235_EC50,molformer
0.6655839187319904,0.7302343653270562,0.6154185068335907,1.1865654952175688,94,132,CHEMBL3979_EC50,unimol
0.6767938627136856,0.7836613976002477,0.6059886888646978,1.2931947608930037,245,421,CHEMBL214_Ki,unimol
1.0774495001358342,1.107302766736535,1.074552451133418,1.0304780986433677,13,136,CHEMBL4203_Ki,molformer
0.7074442850180134,0.8454223718784375,0.6237478655364942,1.3553912062709472,52,100,CHEMBL2034_Ki,unimol
0.8178990030030311,0.8967830198100144,0.7579784196818219,1.1831247388104515,259,371,CHEMBL233_Ki,unimol
1.0746217982338104,1.1080385755938973,1.0511369014244143,1.0541334569192409,141,206,CHEMBL239_EC50,molformer
0.8796034774040504,0.9248791128936202,0.8493121111070404,1.0889743603068154,50,78,CHEMBL2047_EC50,molformer
1.0344999654017912,1.0134290296431518,1.0492603577817436,0.9658508702126674,67,94,CHEMBL1862_Ki,molformer
1.175116631135701,1.153672914405696,1.1996752626052862,0.9616543329403252,160,137,CHEMBL4792_Ki,molformer
0.7188345576789766,0.7173293475737202,0.7199986585235097,0.9962926167733932,320,413,CHEMBL234_Ki,unimol
0.7257867879286033,0.7324885064074396,0.7215459596563576,1.0151654189239636,103,164,CHEMBL287_Ki,unimol
1.1329868084178871,1.046898465524914,1.190503131128496,0.8793748106588709,94,132,CHEMBL3979_EC50,molformer
1.010866602290993,0.943911181575972,1.0598404693392194,0.8906162850758794,320,413,CHEMBL234_Ki,molformer
0.936843249847708,0.9566546204947975,0.9236392034417316,1.0357449282469189,148,226,CHEMBL219_Ki,molformer
1.013283724836488,1.0498192886985396,0.9860174694272836,1.0647065810186045,81,112,CHEMBL4005_Ki,molformer
0.8019452320131563,0.9014464613502308,0.699106767313768,1.2894260268913265,296,325,CHEMBL244_Ki,unimol
0.9434528437858156,1.1949158588633804,0.9158075678126694,1.3047673996812867,13,136,CHEMBL4203_Ki,unimol
0.7229184531198019,0.9495001826094928,0.6353960239880069,1.494343915862172,32,102,CHEMBL1871_Ki,unimol
0.7722432773348562,0.91426682071565,0.6575815878497343,1.39034735401468,141,206,CHEMBL239_EC50,unimol
0.8306466468172028,0.8871113253041164,0.8100682607448981,1.0951068796207042,55,158,CHEMBL238_Ki,molformer
0.8116192386915614,0.9433685823757312,0.7113148570611859,1.3262320799445702,220,333,CHEMBL204_Ki,unimol
0.7216358931260558,0.7623337988948558,0.7120757111654321,1.0705796967111374,32,141,CHEMBL262_Ki,unimol
0.9161921692566364,0.9843738735388036,0.8786492465255432,1.1203263161396075,52,100,CHEMBL2034_Ki,molformer
0.817796454750574,0.9146615276813888,0.7479496460053431,1.2228918518331044,116,178,CHEMBL2147_Ki,molformer
0.8893790854610807,0.8500842200799148,0.9309116962030056,0.9131738526298798,73,66,CHEMBL4616_EC50,molformer
1.0875588526448352,1.0496115960454138,1.1150201920708835,0.94133864436662,223,299,CHEMBL237_Ki,molformer
0.7432827425714114,0.8178599800367304,0.6967325526855089,1.173850678979106,76,132,CHEMBL218_EC50,unimol
0.7161302885978938,0.841324903728514,0.6708417320238873,1.2541332233316638,48,149,CHEMBL231_Ki,unimol
0.6386500475877527,0.7502771321813003,0.594897978224885,1.2611862195599504,55,158,CHEMBL238_Ki,unimol
1.306175673784899,1.2703105926159834,1.3373613718377757,0.9498633797612592,91,102,CHEMBL237_EC50,molformer
0.7977257908365155,0.8544404914344572,0.7589901330044261,1.12575968287255,204,317,CHEMBL236_Ki,unimol
1.0933795941120907,1.0616352071960975,1.1154750596170404,0.951733701299044,239,335,CHEMBL264_Ki,molformer
0.8328244846225801,0.880556426301477,0.8013943537410125,1.0987804221366493,103,164,CHEMBL287_Ki,molformer
0.7646274728596031,0.8825511616687942,0.6763526093243484,1.3048684214442976,148,226,CHEMBL219_Ki,unimol
0.628766279127349,0.7315549320782093,0.5436826925939267,1.3455549386498558,239,335,CHEMBL264_Ki,unimol
0.943062166510523,1.0191328721645376,0.8906789079849233,1.144220283008867,204,317,CHEMBL236_Ki,molformer
0.908548883381554,0.9800309965914884,0.8842913792647342,1.1082670481378654,48,149,CHEMBL231_Ki,molformer
1.1894688882797493,1.1371494941991178,1.219319584014065,0.9326098826819144,127,215,CHEMBL228_Ki,molformer
0.5246417326455823,1.049552031477844,0.4244840109111618,2.472536077919551,13,113,CHEMBL2835_Ki,unimol
0.6482792346453042,0.7000519837420093,0.6121877858337922,1.143524911704253,116,178,CHEMBL2147_Ki,unimol
0.840039647800426,0.8549605699131835,0.8368937767769039,1.0215879166957835,34,163,CHEMBL2971_Ki,molformer
0.8043978230518677,0.9556387206676632,0.701532233733125,1.362216409618613,245,421,CHEMBL214_Ki,molformer
0.9535027063336378,0.9360460179509382,0.963410050911885,0.9715966914243356,76,132,CHEMBL218_EC50,molformer
0.6913145191198588,0.8271800300283831,0.5733312084281817,1.442761213533346,81,112,CHEMBL4005_Ki,unimol
0.8438503375215172,0.9230812538662692,0.7464849388190119,1.236570499770088,73,66,CHEMBL4616_EC50,unimol
0.8327514732522553,1.0349646844166445,0.7582797315831484,1.3648850698617894,32,102,CHEMBL1871_Ki,molformer
