repeat,fold,model,MAE
1,5,MolFormer,0.651117525
1,6,MolFormer,0.6825150569444444
1,7,MolFormer,0.8380522694444443
1,8,MolFormer,0.7013220013888889
1,9,MolFormer,0.5973587499999998
2,0,MolFormer,0.7555813192837467
2,1,MolFormer,0.9680229363888889
2,2,MolFormer,0.6894344927777777
2,3,MolFormer,0.97810304
2,4,MolFormer,0.873124316111111
2,5,MolFormer,0.9464889047222221
2,6,MolFormer,0.8109348680555556
2,7,MolFormer,0.5489579552777778
2,8,MolFormer,0.8487884855555556
2,9,MolFormer,0.7130392775
3,0,MolFormer,0.8801183652892562
3,1,MolFormer,0.7309333177777777
3,2,MolFormer,0.6923617208333335
3,3,MolFormer,0.9334099494444444
3,4,MolFormer,0.9637387361111113
3,5,MolFormer,0.8912751433333334
3,6,MolFormer,0.6788213630555555
3,7,MolFormer,0.7812033372222222
3,8,MolFormer,0.9529819933333333
3,9,MolFormer,0.8422616708333331
4,0,MolFormer,0.9572725699724519
4,1,MolFormer,0.7448073599999999
4,2,MolFormer,0.8326462244444445
4,3,MolFormer,0.9540597833333333
4,4,MolFormer,0.7074180561111111
4,5,MolFormer,0.7309633991666665
4,6,MolFormer,0.8880816797222222
4,7,MolFormer,0.6146135727777776
4,8,MolFormer,0.6060211730555555
4,9,MolFormer,0.8568218733333333
0,0,ChemFM,0.7419492242424243
0,1,ChemFM,0.6461103266666667
0,2,ChemFM,0.7469995850000001
0,3,ChemFM,0.7103959694444445
0,4,ChemFM,0.5536618608333334
0,5,ChemFM,0.6932089902777777
0,6,ChemFM,0.603399898888889
0,7,ChemFM,0.6128573516666667
0,8,ChemFM,0.7093979380555555
0,9,ChemFM,0.6271458052777777
1,0,ChemFM,0.6734131212121213
1,1,ChemFM,0.4848944433333333
1,2,ChemFM,0.6729945508333333
1,3,ChemFM,0.7978916088888889
1,4,ChemFM,0.6656235791666666
1,5,ChemFM,0.5751152605555555
1,6,ChemFM,0.6465402280555556
1,7,ChemFM,0.6071425497222223
1,8,ChemFM,0.5784752686111111
1,9,ChemFM,0.5796657372222221
2,0,ChemFM,0.5561116099173553
2,1,ChemFM,0.5665194322222221
2,2,ChemFM,0.6975487805555556
2,3,ChemFM,0.6615931877777779
2,4,ChemFM,0.6996375780555555
2,5,ChemFM,0.6965825699999999
2,6,ChemFM,0.7140521819444444
2,7,ChemFM,0.5340849819444444
2,8,ChemFM,0.5888837194444445
2,9,ChemFM,0.6659418947222222
3,0,ChemFM,0.5562859834710744
3,1,ChemFM,0.6432994097222222
3,2,ChemFM,0.6027157700000001
3,3,ChemFM,0.7122699786111112
3,4,ChemFM,0.6345517294444445
3,5,ChemFM,0.5890266091666666
3,6,ChemFM,0.6867639847222223
3,7,ChemFM,0.6406176122222221
3,8,ChemFM,0.6314404722222222
3,9,ChemFM,0.6446420633333332
4,0,ChemFM,0.6675461537190084
4,1,ChemFM,0.5743164841666667
4,2,ChemFM,0.624107343888889
4,3,ChemFM,0.7243952452777779
4,4,ChemFM,0.6136430316666667
4,5,ChemFM,0.6555726441666666
4,6,ChemFM,0.821915571111111
4,7,ChemFM,0.6394340438888888
4,8,ChemFM,0.5776404838888888
4,9,ChemFM,0.6675971927777778
0,0,Chemprop,0.6908742906336088
0,1,Chemprop,0.5700388861111111
0,2,Chemprop,0.6316338033333334
0,3,Chemprop,0.7655279155555554
0,4,Chemprop,0.5830098325
0,5,Chemprop,0.6205251569444443
0,6,Chemprop,0.5635618775
0,7,Chemprop,0.5890919974999999
0,8,Chemprop,0.5688190402777779
0,9,Chemprop,0.5688679713888888
1,0,Chemprop,0.6766522573002756
1,1,Chemprop,0.5111066552777778
1,2,Chemprop,0.6583162452777778
1,3,Chemprop,0.7073039030555556
1,4,Chemprop,0.5705501525
1,5,Chemprop,0.5399413200000001
1,6,Chemprop,0.667370856388889
1,7,Chemprop,0.5983138694444445
1,8,Chemprop,0.6473480583333334
1,9,Chemprop,0.6087029994444444
2,0,Chemprop,0.5829377019283746
2,1,Chemprop,0.6311454425
2,2,Chemprop,0.6614458000000001
2,3,Chemprop,0.720066643888889
2,4,Chemprop,0.6357743208333334
2,5,Chemprop,0.6939566594444444
2,6,Chemprop,0.6690552672222223
2,7,Chemprop,0.5038971622222223
2,8,Chemprop,0.5567306486111111
2,9,Chemprop,0.5451717524999999
3,0,Chemprop,0.609941541322314
3,1,Chemprop,0.5815140613888888
